listing_id,tower_number,transaction_date,unit_category,unit_number,floor_area_sqft,sale_price,listing_status,client_ref,price_per_sqft
1012,1,2024-01-01,Apartment,12,1160.36,300385.62,Sold,C0027,258.87278086111206
1015,1,2024-01-01,Apartment,15,782.25,208930.81,Sold,C0097,267.08956216043464
1021,1,2024-01-01,Apartment,21,756.21,218585.92,Sold,C0113,289.05452189206704
1030,1,2024-01-01,Apartment,30,743.09,246172.68,Sold,C0141,331.2824556917735
2016,2,2024-01-01,Apartment,16,701.66,212265.67,Sold,C0146,302.51926859162563
2018,2,2024-01-01,Apartment,18,927.83,275394.25,Sold,C0023,296.8154187728355
2029,2,2024-01-01,Apartment,29,1109.25,310223.29,Sold,C0040,279.66940725715574
3006,3,2024-01-01,Apartment,6,1132.06,356506.37,Sold,C0007,314.9182640496087
3026,3,2024-01-01,Apartment,26,670.89,212520.83,Sold,C0082,316.7744786775775
3031,3,2024-01-01,Apartment,31,1596.35,407214.29,Sold,C0038,255.09085726814294
3035,3,2024-01-01,Apartment,35,781.07,269278.57,Sold,C0107,344.7560013827186
4039,4,2024-01-01,Apartment,39,785.48,216826.0,Available,,276.0426745429546
5015,5,2024-01-01,Apartment,15,798.5,237680.88,Available,,297.65921102066375
5033,5,2024-01-01,Apartment,33,798.28,240539.35,Sold,C0049,301.32202986420805
5046,5,2024-01-01,Apartment,46,798.28,230216.22,Sold,C0161,288.3903141754773
10005,1,2024-01-01,Apartment,1,748.06,222435.93,Sold,C0396,297.35038633264713
10012,1,2024-01-01,Apartment,2,715.67,199315.51,Sold,C1809,278.50197716824795
10021,1,2024-01-01,Apartment,3,788.73,285972.38,Sold,C1508,362.57322531157683
10032,1,2024-01-01,Apartment,4,633.61,179987.43,Sold,C1572,284.06658670159874
10035,1,2024-01-01,Apartment,4,633.61,166623.12,Available,,262.97425861334256
10052,1,2024-01-01,Apartment,6,740.75,233361.41,Available,,315.03396557543033
10105,1,2024-01-01,Office,13,719.47,211336.04,Sold,C0628,293.73850195282637
10108,1,2024-01-01,Apartment,14,1181.69,347613.48,Sold,C0674,294.16638881601773
10155,1,2024-01-01,Apartment,20,1146.24,336600.53,Sold,C0909,293.65624127582356
10168,1,2024-01-01,Apartment,21,1957.16,487767.54,Sold,C0732,249.22210754358355
10179,1,2024-01-01,Office,22,740.83,232423.05,Sold,C1956,313.73331263582736
10184,1,2024-01-01,Apartment,23,1201.5,322459.21,Sold,C0760,268.380532667499
10186,1,2024-01-01,Office,23,1201.5,399122.68,Available,,332.1869995838535
10199,1,2024-01-01,Apartment,24,1146.11,328475.64,Sold,C0661,286.60044847353225
10208,1,2024-01-01,Office,24,1146.11,347062.19,Sold,C1813,302.8175218783538
10220,1,2024-01-01,Apartment,25,1154.92,372242.47,Sold,C0431,322.31017732829974
10222,1,2024-01-01,Apartment,25,1154.92,384462.57,Sold,C0054,332.89108336508156
10264,1,2024-01-01,Apartment,29,757.2,237620.45,Sold,C1363,313.81464606444797
10284,1,2024-01-01,Apartment,30,753.29,261991.1,Available,,347.7958024134132
10297,1,2024-01-01,Apartment,31,619.78,231461.08,Sold,C1547,373.45683952370194
10333,1,2024-01-01,Apartment,35,1168.59,339117.71,Sold,C0442,290.1939174560796
10335,1,2024-01-01,Apartment,36,613.59,165522.54,Available,,269.7608174839877
20016,2,2024-01-01,Apartment,2,788.72,251478.61,Sold,C1969,318.84396236940864
20040,2,2024-01-01,Apartment,4,1281.85,392174.2,Available,,305.9439091937434
20061,2,2024-01-01,Apartment,8,715.54,188979.3,Sold,C0429,264.1072476730861
20064,2,2024-01-01,Apartment,8,715.54,212960.69,Sold,C1841,297.62234116890744
20067,2,2024-01-01,Apartment,8,715.54,184000.39,Sold,C0116,257.14899236939937
20076,2,2024-01-01,Apartment,9,584.19,194033.05,Sold,C1634,332.1403139389582
20079,2,2024-01-01,Apartment,9,584.19,184956.85,Sold,C1632,316.6039302281792
20086,2,2024-01-01,Office,10,788.79,274454.31,Available,,347.94344502339027
20087,2,2024-01-01,Office,10,788.79,227511.01,Sold,C1189,288.43039338734013
20100,2,2024-01-01,Apartment,11,1625.05,523288.27,Sold,C0962,322.01364265714903
20102,2,2024-01-01,Apartment,11,1625.05,507842.87,Sold,C0040,312.5090735669672
20143,2,2024-01-01,Apartment,17,1397.4,418864.27,Sold,C0102,299.7454343781308
20174,2,2024-01-01,Apartment,20,727.55,223964.08,Sold,C1168,307.83324857398117
20225,2,2024-01-01,Apartment,25,943.48,313123.78,Sold,C1924,331.8817357018697
20231,2,2024-01-01,Apartment,26,1577.79,465488.76,Sold,C1908,295.0258019128021
20232,2,2024-01-01,Apartment,26,1577.79,483760.31,Sold,C0502,306.60627206408964
20234,2,2024-01-01,Apartment,26,1577.79,496217.67,Sold,C1860,314.50172076131804
20250,2,2024-01-01,Apartment,28,650.67,201554.99,Sold,C0533,309.7653034564372
20256,2,2024-01-01,Apartment,29,1107.33,362974.97,Sold,C0791,327.7929524170753
20282,2,2024-01-01,Apartment,33,931.4,340373.72,Sold,C0738,365.44311788705176
20286,2,2024-01-01,Apartment,33,931.4,344306.6,Sold,C0173,369.6656645909384
20367,2,2024-01-01,Apartment,43,1118.94,337252.59,Available,,301.40364094589523
20368,2,2024-01-01,Apartment,43,1118.94,311723.42,Sold,C1310,278.5881459238207
20384,2,2024-01-01,Apartment,46,697.74,191398.42,Sold,C1996,274.31195001003243
20392,2,2024-01-01,Apartment,46,697.74,221686.72,Available,,317.72109954997563
20421,2,2024-01-01,Apartment,47,708.32,199377.29,Sold,C1839,281.4791196069573
20428,2,2024-01-01,Apartment,49,1617.9,485657.59,Sold,C0427,300.1777551146548
20433,2,2024-01-01,Office,50,1604.8,535383.27,Available,,333.6137026420738
20484,2,2024-01-01,Apartment,56,722.22,197039.82,Sold,C0046,272.8252056160173
30016,3,2024-01-01,Apartment,1,689.75,231937.37,Sold,C0374,336.26295034432763
30057,3,2024-01-01,Apartment,6,668.89,203633.01,Sold,C0570,304.43422685344376
30066,3,2024-01-01,Apartment,7,744.01,163682.2,Available,,220.00000000000003
30088,3,2024-01-01,Apartment,9,1125.84,314372.82,Sold,C1977,279.23401193775317
30091,3,2024-01-01,Apartment,9,1125.84,361782.84,Sold,C0182,321.3448092091239
30119,3,2024-01-01,Apartment,10,784.09,245282.25,Sold,C1570,312.8241018250456
30190,3,2024-01-01,Apartment,20,802.97,227392.48,Sold,C0532,283.1892598727225
30203,3,2024-01-01,Apartment,21,1122.15,375891.04,Sold,C1932,334.97396961190566
30214,3,2024-01-01,Apartment,24,776.04,237580.39,Sold,C0866,306.14451574661103
30223,3,2024-01-01,Apartment,25,765.56,208271.84,Sold,C1802,272.0516223418152
30238,3,2024-01-01,Apartment,27,1117.14,331813.63,Sold,C0006,297.02063304509727
30257,3,2024-01-01,Apartment,28,679.93,199964.39,Available,,294.0955539540835
30298,3,2024-01-01,Apartment,36,733.45,255632.56,Available,,348.53440588997205
30344,3,2024-01-01,Office,42,1343.96,384762.61,Sold,C1567,286.2902244114408
30382,3,2024-01-01,Apartment,47,691.09,194477.8,Sold,C0529,281.4073420249171
30388,3,2024-01-01,Apartment,47,691.09,223528.63,Sold,C1639,323.4435891128507
30415,3,2024-01-01,Apartment,49,1174.48,337065.29,Sold,C0778,286.99108541652475
30427,3,2024-01-01,Apartment,49,1174.48,376083.68,Sold,C1001,320.21292827464066
30439,3,2024-01-01,Apartment,51,693.85,221020.03,Sold,C1698,318.54151473661454
30471,3,2024-01-01,Apartment,56,1179.42,375142.73,Sold,C1312,318.0739092096115
30474,3,2024-01-01,Apartment,56,1179.42,353361.5,Sold,C0437,299.60616235098604
30488,3,2024-01-01,Office,57,1607.94,532909.35,Sold,C1012,331.4236538676816
30505,3,2024-01-01,Apartment,58,1588.14,442306.09,Sold,C1652,278.50572997342806
30506,3,2024-01-01,Apartment,58,1588.14,495478.74,Sold,C1788,311.9868147644414
30508,3,2024-01-01,Apartment,59,1353.02,353529.48,Sold,C1379,261.2891753263071
30511,3,2024-01-01,Apartment,59,1353.02,443089.55,Sold,C1262,327.4818923593147
40008,4,2024-01-01,Apartment,1,1615.98,470821.82,Sold,C1267,291.35374200175744
40030,4,2024-01-01,Apartment,3,1630.82,495465.48,Sold,C0699,303.81371334665994
40052,4,2024-01-01,Apartment,5,786.98,242144.72,Sold,C0391,307.68853083941144
40092,4,2024-01-01,Office,12,789.38,253171.59,Sold,C1972,320.7220730193316
40102,4,2024-01-01,Apartment,13,809.06,241164.92,Sold,C0979,298.0803895879169
40126,4,2024-01-01,Apartment,15,760.39,202489.6,Sold,C1314,266.2970317863202
40142,4,2024-01-01,Apartment,17,780.68,242054.22,Available,,310.05561817902344
40154,4,2024-01-01,Apartment,18,1294.91,330997.32,Sold,C0195,255.61415079040242
40173,4,2024-01-01,Office,21,801.66,256392.52,Sold,C0912,319.82700895641545
40186,4,2024-01-01,Apartment,23,1110.99,363974.2,Sold,C1488,327.612489761384
40255,4,2024-01-01,Apartment,30,1307.35,399943.02,Sold,C1304,305.91885876008723
40286,4,2024-01-01,Apartment,33,734.73,207033.36,Sold,C1064,281.78155240700664
40347,4,2024-01-01,Apartment,41,779.87,198773.78,Available,,254.88065959711233
40376,4,2024-01-01,Apartment,45,1160.48,373889.7,Sold,C0490,322.18538880463257
40408,4,2024-01-01,Office,46,800.23,248776.66,Sold,C1127,310.88144658410704
40410,4,2024-01-01,Apartment,47,805.88,216571.38,Sold,C0036,268.7389933985209
40437,4,2024-01-01,Apartment,51,802.11,217380.34,Sold,C0552,271.0106344516338
40439,4,2024-01-01,Office,51,802.11,232641.21,Available,,290.0365411227886
50017,5,2024-01-01,Apartment,4,799.1,259367.12,Sold,C1746,324.5740458015267
50023,5,2024-01-01,Apartment,4,799.1,266288.33,Sold,C0454,333.23530221499186
50028,5,2024-01-01,Apartment,6,775.85,208908.94,Available,,269.2646001160018
50064,5,2024-01-01,Apartment,9,793.56,227070.24,Available,,286.14123695750794
50076,5,2024-01-01,Apartment,10,629.27,194958.35,Sold,C1749,309.81669235781146
50114,5,2024-01-01,Apartment,14,624.96,211361.79,Sold,C1677,338.2005088325653
50154,5,2024-01-01,Apartment,20,804.84,231233.66,Available,,287.3038864867551
50173,5,2024-01-01,Apartment,23,1006.65,269137.96,Sold,C0642,267.36001589430293
50203,5,2024-01-01,Apartment,27,1278.6,366303.84,Sold,C1862,286.4882214922572
50204,5,2024-01-01,Apartment,27,1278.6,396653.03,Sold,C0250,310.2244877209448
50219,5,2024-01-01,Apartment,29,786.28,246088.4,Available,,312.9780739685608
50247,5,2024-01-01,Apartment,32,1051.39,340611.95,Sold,C1967,323.9634674098098
50249,5,2024-01-01,Apartment,33,1787.13,503642.95,Sold,C1588,281.816627777498
50250,5,2024-01-01,Apartment,33,1787.13,499753.6,Sold,C0227,279.64031715655824
50272,5,2024-01-01,Apartment,36,627.56,184648.29,Available,,294.2320893619734
50293,5,2024-01-01,Apartment,39,591.14,165812.56,Available,,280.49626146090606
