,age,satisfaction_score,total_properties,total_investment,avg_property_price,price_dispersion,avg_floor_area,total_area,avg_price_per_sqft,unique_towers,active_months,purchase_span_days,office_share
age,1.0,0.005,0.083,0.057,-0.015,-0.004,-0.011,0.06,-0.007,0.072,0.061,0.037,0.014
satisfaction_score,0.005,1.0,0.07,0.049,-0.003,0.012,0.0,0.053,-0.017,0.05,0.052,0.012,-0.011
total_properties,0.083,0.07,1.0,0.71,-0.126,0.083,-0.125,0.728,-0.027,0.931,0.853,0.272,-0.021
total_investment,0.057,0.049,0.71,1.0,0.596,0.231,0.569,0.979,0.165,0.669,0.594,0.197,0.017
avg_property_price,-0.015,-0.003,-0.126,0.596,1.0,0.215,0.959,0.547,0.27,-0.124,-0.122,-0.035,0.056
price_dispersion,-0.004,0.012,0.083,0.231,0.215,1.0,0.156,0.187,0.118,0.103,0.061,0.032,0.02
avg_floor_area,-0.011,0.0,-0.125,0.569,0.959,0.156,1.0,0.576,0.003,-0.123,-0.121,-0.046,0.029
total_area,0.06,0.053,0.728,0.979,0.547,0.187,0.576,1.0,-0.022,0.687,0.609,0.193,-0.003
avg_price_per_sqft,-0.007,-0.017,-0.027,0.165,0.27,0.118,0.003,-0.022,1.0,-0.029,-0.028,0.029,0.107
unique_towers,0.072,0.05,0.931,0.669,-0.124,0.103,-0.123,0.687,-0.029,1.0,0.794,0.281,-0.014
active_months,0.061,0.052,0.853,0.594,-0.122,0.061,-0.121,0.609,-0.028,0.794,1.0,0.362,-0.039
purchase_span_days,0.037,0.012,0.272,0.197,-0.035,0.032,-0.046,0.193,0.029,0.281,0.362,1.0,-0.01
office_share,0.014,-0.011,-0.021,0.017,0.056,0.02,0.029,-0.003,0.107,-0.014,-0.039,-0.01,1.0
