,count,mean,std,min,25%,50%,75%,max
age,2000.0,55.099,17.34371936179349,25.0,40.0,56.0,70.0,94.0
satisfaction_score,2000.0,3.029,1.4135621949668575,1.0,2.0,3.0,4.0,5.0
total_properties,2000.0,3.6525,0.8397001239425147,3.0,3.0,4.0,4.0,13.0
total_investment,2000.0,1260375.4804200002,347830.66482746624,463611.95,1025238.005,1220893.165,1441973.8825,3653385.38
avg_property_price,2000.0,347089.95586912986,69721.82181398894,154537.31666666668,295807.67770833336,341523.3833333333,390843.31687499996,563423.5
price_dispersion,2000.0,122943.5106737873,48238.48169205534,1700.004447945163,88995.98065731324,123627.95229590731,157148.3876622022,292994.96382448444
avg_floor_area,2000.0,1147.479667994311,219.92258695996927,564.01,984.9525,1129.1766666666665,1296.5625,1800.45
total_area,2000.0,4168.04248,1130.1657348893607,1692.03,3387.5299999999997,4061.0950000000003,4740.327500000001,12054.85
avg_price_per_sqft,2000.0,302.5093741927522,15.969586937114432,246.92189962494413,292.16053921634466,302.2652716926029,313.03814979168766,373.74485785009733
unique_towers,2000.0,3.607,0.7012823243524854,3.0,3.0,4.0,4.0,8.0
active_months,2000.0,3.441,0.8098437648471036,1.0,3.0,3.0,4.0,12.0
purchase_span_days,2000.0,400.152,161.4301264909045,0.0,274.0,397.0,518.0,700.0
office_share,2000.0,0.14872142857142856,0.1847748115941797,0.0,0.0,0.0,0.25,1.0
